city,name,cuisine,rating,image
Mardan,Golden Grill Mardan,BBQ & Steaks,4.3,images/restaurants/golden_grill_mardan.jpg
Mardan,Mardan Chappli Kabab House,Chappli Kabab,4.8,images/restaurants/mardan_chappli_kabab.jpg
Mingora,Swat Fish Hut Fizagat,River Trout Fish,4.8,images/restaurants/swat_fish_hut.jpg
Mingora,Shinwari Tikka Swat,Pashtun BBQ,4.6,images/restaurants/shinwari_swat.jpg
Mingora,Prepared Trout Restaurant,Grilled Trout,4.7,images/restaurants/prepared_trout.jpg
Mingora,Mingora Food Court,Local & Fast Food,4.2,images/restaurants/mingora_food_court.jpg
Mingora,Green Valley Café,Café & Snacks,4.3,images/restaurants/green_valley_cafe.jpg
Multan,Multani Sohan Halwa Hafiz,Traditional Sweets,4.9,images/restaurants/hafiz_sohan_halwa.jpg
Multan,Shangrila Chinese Multan,Chinese & Pakistani,4.5,images/restaurants/shangrila_multan.jpg
Multan,Naveed Karahi Multan,Mutton Karahi,4.7,images/restaurants/naveed_karahi.jpg
Multan,Avari Xpress Restaurant,Continental,4.6,images/restaurants/avari_multan_restaurant.jpg
Multan,BBQ Villa Multan,Pakistani BBQ,4.4,images/restaurants/bbq_villa_multan.jpg
Muzaffarabad,Neelum View Restaurant,Local Kashmiri & Trout,4.6,images/restaurants/neelum_view_restaurant.jpg
Muzaffarabad,Kashmir Continental,Pakistani & Kashmiri,4.3,images/restaurants/kashmir_continental.jpg
Muzaffarabad,Riverfront Café,Coffee & Fast Food,4.4,images/restaurants/riverfront_cafe.jpg
Muzaffarabad,Pir Chinasi Food Point,Desi BBQ,4.5,images/restaurants/pir_chinasi_food.jpg
Muzaffarabad,Muzaffarabad Karahi House,Mutton Karahi,4.2,images/restaurants/muzaffarabad_karahi.jpg
Nawabshah,Royal Biryani Nawabshah,Sindhi Biryani,4.4,images/restaurants/royal_biryani_nawabshah.jpg
Nawabshah,Al-Harmain Restaurant,Pakistani,4.2,images/restaurants/al_harmain_restaurant.jpg
Nawabshah,Nawabshah Karahi & BBQ,Karahi & Tikka,4.3,images/restaurants/nawabshah_karahi.jpg
Nawabshah,City Fast Food Nawabshah,Fast Food,4.0,images/restaurants/city_fast_food_nawabshah.jpg
Nawabshah,Indus Fish House,Fried Fish,4.1,images/restaurants/indus_fish_nawabshah.jpg
Peshawar,Nisar Charsi Tikka,Pashtun BBQ & Karahi,4.9,images/restaurants/nisar_charsi_tikka.jpg
Peshawar,Chef's Cellar Peshawar,Continental,4.6,images/restaurants/chefs_cellar_peshawar.jpg
Peshawar,Jalil Kabab House,Chappli Kabab,4.8,images/restaurants/jalil_kabab.jpg
Peshawar,Habibi Restaurant Peshawar,BBQ & Arabian,4.7,images/restaurants/habibi_peshawar.jpg
Peshawar,Shiraz Rondo Peshawar,Pakistani & Chinese,4.5,images/restaurants/shiraz_rondo.jpg
Quetta,Lehri Sajji House,Balochi Sajji,4.9,images/restaurants/lehri_sajji.jpg
Quetta,Noman Dumpukht,Traditional Balochi Dumpukht,4.8,images/restaurants/noman_dumpukht.jpg
Quetta,Usmania Restaurant Quetta,Pakistani & BBQ,4.5,images/restaurants/usmania_quetta.jpg
Quetta,Safran Restaurant Quetta,Continental & Pakistani,4.6,images/restaurants/safran_quetta.jpg
Quetta,Green Hotel Restaurant,Local Balochi & Pashtun,4.3,images/restaurants/green_hotel_quetta.jpg
Rawalpindi,Savour Foods Rawalpindi,Pulao & Kabab,4.8,images/restaurants/savour_foods_rawalpindi.jpg
Rawalpindi,Mehak Tikka Saddar,BBQ & Tikka,4.6,images/restaurants/mehak_tikka.jpg
Rawalpindi,Bala Tikka Commercial Market,BBQ & Karahi,4.7,images/restaurants/bala_tikka.jpg
Rawalpindi,Texas Steakhouse,Steaks & American,4.5,images/restaurants/texas_steakhouse.jpg
Rawalpindi,Monool Restaurant,Pakistani,4.3,images/restaurants/monool_rawalpindi.jpg
Sargodha,Mian Ji Hotel Lala Musa Branch,Daal & Roti,4.8,images/restaurants/mian_ji_sargodha.jpg
Sargodha,Sargodha Fish House,Fried Fish,4.5,images/restaurants/sargodha_fish.jpg
Sargodha,Royal Karahi Sargodha,Pakistani Karahi,4.3,images/restaurants/royal_karahi_sargodha.jpg
Sargodha,City Fast Food Sargodha,Fast Food,4.1,images/restaurants/city_fast_food_sargodha.jpg
Sargodha,Shangrila Restaurant Sargodha,Chinese & Pakistani,4.4,images/restaurants/shangrila_sargodha.jpg
Sialkot,Silver Spoon Sialkot,Pakistani & Chinese,4.5,images/restaurants/silver_spoon_sialkot.jpg
Sialkot,Bundu Khan Sialkot,BBQ & Karahi,4.6,images/restaurants/bundu_khan_sialkot.jpg
Sialkot,Frangoz Fast Food,Fast Food & Burgers,4.4,images/restaurants/frangoz_sialkot.jpg
Sialkot,BBQ Tonight Sialkot,Pakistani BBQ,4.6,images/restaurants/bbq_tonight_sialkot.jpg
Sialkot,Kashmir Karahi House,Desi Karahi,4.3,images/restaurants/kashmir_karahi_sialkot.jpg
Sukkur,Al-Madina Fish Sukkur,Indus River Fish,4.7,images/restaurants/al_madina_fish.jpg
Sukkur,Royal Taj Sukkur,Pakistani & Chinese,4.4,images/restaurants/royal_taj_sukkur.jpg
Sukkur,Sukkur Sajji House,Balochi Sajji,4.5,images/restaurants/sukkur_sajji.jpg
Sukkur,Bismillah Biryani Sukkur,Sindhi Biryani,4.3,images/restaurants/bismillah_biryani_sukkur.jpg
Sukkur,Indus View Karahi,Karahi & BBQ,4.4,images/restaurants/indus_view_karahi.jpg
Turbat,Kech Sajji House,Balochi Sajji,4.6,images/restaurants/kech_sajji.jpg
Turbat,Mekran Fish & Tikka,Fish & BBQ,4.3,images/restaurants/mekran_fish.jpg
Turbat,Al-Sadaat Restaurant,Pakistani,4.1,images/restaurants/al_sadaat_restaurant.jpg
Turbat,Turbat Fast Food,Fast Food,3.9,images/restaurants/turbat_fast_food.jpg
Turbat,Baloch Karahi Point,Local Karahi,4.2,images/restaurants/baloch_karahi.jpg
